set_id,ELEOMA,Car_Weight,Car_Type,CarProdYear
0000000001,DIESEL,5,일반탑차,2008
0000000002,DIESEL,5,일반탑차,2008
0000000003,DIESEL,14,조르다,2010
0000000004,DIESEL,5,일반탑차,2006
0000000005,DIESEL,5,일반탑차,2007
0000000006,DIESEL,2.5,일반탑차,2009
0000000008,DIESEL,3.5,일반탑차,2017
0000000009,DIESEL,2.5,일반탑차,2007
0000000010,DIESEL,3.5,일반탑차,2014
0000000011,DIESEL,5,일반탑차,2007
0000000012,DIESEL,5,일반탑차,2010
0000000013,DIESEL,5,일반탑차,2009
0000000014,DIESEL,3.5,일반탑차,2001
0000000016,DIESEL,2.5,일반탑차,2005
0000000017,DIESEL,3.5,일반탑차,2013
0000000018,DIESEL,3.5,일반탑차,2007
0000000019,DIESEL,5,일반탑차,2006
0000000020,DIESEL,5,일반탑차,2006
0000000021,DIESEL,2.5,일반탑차,2003
0000000022,DIESEL,3.5,일반탑차,2009
0000000023,DIESEL,14,조르다,2011
0000000024,DIESEL,5,조르다,2005
0000000025,DIESEL,5,윙바디,2006
0000000026,DIESEL,14,조르다,2012
0000000027,DIESEL,5,일반탑차,2005
0000000028,DIESEL,2.5,일반탑차,2007
0000000029,DIESEL,2.5,일반탑차,2007
0000000030,DIESEL,2.5,일반탑차,2015
0000000031,DIESEL,5,일반탑차,2001
0000000032,DIESEL,5,일반탑차,2000
0000000034,DIESEL,3.5,일반탑차,2006
0000000035,DIESEL,3.5,일반탑차,2008
0000000036,DIESEL,3.5,일반탑차,2011
0000000037,DIESEL,2.5,일반탑차,2011
0000000038,DIESEL,5,일반탑차,2003
0000000039,DIESEL,14,조르다,2009
0000000040,DIESEL,3.5,일반탑차,2001
0000000041,DIESEL,3.5,일반탑차,2016
0000000043,DIESEL,5,조르다,2003
0000000044,DIESEL,2.5,일반탑차,2005
0000000045,DIESEL,2.5,일반탑차,2001
0000000046,DIESEL,3.5,일반탑차,2006
0000000047,DIESEL,2.5,일반탑차,2005
0000000048,DIESEL,5,일반탑차,2010
0000000049,DIESEL,5,일반탑차,2010
0000000050,DIESEL,5,일반탑차,2005
0000000051,DIESEL,3.5,일반탑차,2011
0000000052,DIESEL,2.5,일반탑차,2005
0000000053,DIESEL,5,조르다,2011
0000000054,DIESEL,5,일반탑차,2003
0000000055,DIESEL,2.5,일반탑차,2005
0000000056,DIESEL,3.5,일반탑차,2006
0000000058,DIESEL,2.5,일반탑차,2009
0000000059,DIESEL,2.5,일반탑차,2003
0000000061,DIESEL,14,조르다,2005
0000000062,DIESEL,3.5,일반탑차,2006
0000000063,DIESEL,3.5,일반탑차,2011
0000000064,DIESEL,2.5,일반탑차,2013
0000000065,DIESEL,14,조르다,2010
0000000066,DIESEL,3.5,일반탑차,2009
0000000067,DIESEL,3.5,일반탑차,2013
0000000068,DIESEL,5,조르다,2004
0000000069,DIESEL,2.5,일반탑차,2008
0000000070,DIESEL,3.5,일반탑차,2009
0000000071,DIESEL,2.5,일반탑차,2004
0000000072,DIESEL,3.5,일반탑차,2007
0000000073,DIESEL,5,조르다,2004
0000000074,DIESEL,5,조르다,2004
0000000075,DIESEL,3.5,일반탑차,2011
0000000076,DIESEL,2.5,일반탑차,2002
0000000077,DIESEL,3.5,일반탑차,2003
0000000078,DIESEL,2.5,일반탑차,2005
0000000079,DIESEL,3.5,일반탑차,2004
0000000080,DIESEL,5,조르다,2012
0000000081,DIESEL,2.5,일반탑차,2002
0000000082,DIESEL,4.5,조르다,2013
0000000083,DIESEL,2.5,일반탑차,2005
0000000084,DIESEL,2.5,일반탑차,2005
0000000085,DIESEL,3.5,일반탑차,2005
0000000086,DIESEL,2.5,일반탑차,2005
0000000087,DIESEL,4.5,조르다,2013
0000000088,DIESEL,3.5,일반탑차,2000
0000000089,DIESEL,2.5,일반탑차,2004
0000000091,DIESEL,5,조르다,2005
0000000092,DIESEL,5,조르다,2011
0000000093,DIESEL,5,조르다,2009
0000000094,DIESEL,5,일반탑차,2002
0000000095,DIESEL,5,조르다,2005
0000000096,DIESEL,3.5,일반탑차,2014
0000000097,DIESEL,4.5,조르다,2012
0000000098,DIESEL,5,조르다,2006
0000000099,DIESEL,3.5,일반탑차,2003
0000000100,DIESEL,3.5,일반탑차,2015
0000000101,DIESEL,5,조르다,2006
0000000102,DIESEL,2.5,일반탑차,2002
0000000103,DIESEL,5,일반탑차,2009
0000000104,DIESEL,5,일반탑차,2007
0000000105,DIESEL,5,일반탑차,2005
0000000107,DIESEL,3.5,일반탑차,2017
0000000108,DIESEL,5,일반탑차,2006
0000000109,DIESEL,2.5,일반탑차,2004
0000000110,DIESEL,5,일반탑차,2005
0000000111,DIESEL,8,일반탑차,2002
0000000112,DIESEL,5,조르다,2009
0000000113,DIESEL,2.5,일반탑차,2005
0000000114,DIESEL,5,일반탑차,2006
0000000115,DIESEL,2.5,일반탑차,2006
0000000116,DIESEL,5,일반탑차,2006
0000000117,DIESEL,5,일반탑차,2007
0000000119,DIESEL,5,일반탑차,2005
0000000121,DIESEL,2.5,일반탑차,2004
0000000122,DIESEL,5,조르다,2006
0000000123,DIESEL,5,조르다,2017
0000000124,DIESEL,8,일반탑차,2001
0000000125,DIESEL,5,조르다,2001
0000000126,DIESEL,5,일반탑차,2005
0000000127,DIESEL,8,일반탑차,2002
0000000128,DIESEL,5,일반탑차,2004
0000000129,DIESEL,5,일반탑차,2009
0000000130,DIESEL,5,일반탑차,2006
0000000131,DIESEL,5,조르다,2009
0000000132,DIESEL,5,일반탑차,2006
0000000133,DIESEL,5,일반탑차,2000
0000000134,DIESEL,5,일반탑차,2002
0000000135,DIESEL,5,조르다,2010
0000000136,DIESEL,2.5,일반탑차,2005
0000000137,DIESEL,3.5,일반탑차,2007
0000000138,DIESEL,5,조르다,2010
0000000139,DIESEL,5,조르다,2009
0000000140,DIESEL,8,일반탑차,2004
0000000142,DIESEL,5,일반탑차,2008
0000000143,DIESEL,5,일반탑차,2006
0000000144,DIESEL,3.5,일반탑차,2011
0000000145,DIESEL,5,조르다,2003
0000000146,DIESEL,5,조르다,2010
0000000147,DIESEL,3.5,일반탑차,2006
0000000148,DIESEL,5,일반탑차,2011
0000000149,DIESEL,5,일반탑차,2002
0000000150,DIESEL,3.5,일반탑차,2001
0000000151,DIESEL,5,일반탑차,2005
0000000152,DIESEL,5,일반탑차,2003
0000000153,DIESEL,5,일반탑차,2001
0000000154,DIESEL,5,일반탑차,2005
0000000155,DIESEL,5,일반탑차,2001
0000000156,DIESEL,2.5,일반탑차,2005
0000000157,DIESEL,2.5,일반탑차,2005
0000000158,DIESEL,5,일반탑차,2008
0000000159,DIESEL,2.5,일반탑차,2007
0000000160,DIESEL,2.5,일반탑차,2005
0000000161,DIESEL,2.5,일반탑차,2002
0000000162,DIESEL,3.5,일반탑차,2009
0000000163,DIESEL,3.5,일반탑차,2015
0000000165,DIESEL,2.5,일반탑차,2002
0000000166,DIESEL,5,일반탑차,2006
0000000167,DIESEL,5,일반탑차,2006
0000000168,DIESEL,5,일반탑차,2000
0000000169,DIESEL,2.5,일반탑차,2007
0000000170,DIESEL,3.5,일반탑차,2003
0000000171,DIESEL,2.5,일반탑차,2005
0000000172,DIESEL,14,조르다,2010
0000000173,DIESEL,5,일반탑차,2001
0000000174,DIESEL,5,일반탑차,2005
0000000175,DIESEL,5,일반탑차,2003
0000000176,DIESEL,2.5,일반탑차,2007
0000000177,DIESEL,3.5,일반탑차,2008
0000000178,DIESEL,5,조르다,2008
0000000179,DIESEL,5,조르다,2015
0000000180,DIESEL,3.5,일반탑차,2007
0000000182,DIESEL,5,일반탑차,2006
0000000183,DIESEL,3.5,일반탑차,2015
0000000184,DIESEL,3.5,일반탑차,2014
0000000185,DIESEL,5,일반탑차,1999
0000000186,DIESEL,5,일반탑차,2008
0000000187,DIESEL,3.5,일반탑차,2009
0000000188,DIESEL,5,일반탑차,2005
0000000189,DIESEL,5,조르다,2009
0000000190,DIESEL,2.5,일반탑차,2011
0000000191,DIESEL,3.5,일반탑차,2011
0000000193,DIESEL,2.5,일반탑차,2007
0000000194,DIESEL,5,조르다,2009
0000000195,DIESEL,2.5,일반탑차,2004
0000000196,DIESEL,3.5,일반탑차,2003
0000000197,DIESEL,3.5,일반탑차,2003
0000000198,DIESEL,2.5,일반탑차,2005
0000000199,DIESEL,2.5,일반탑차,2005
0000000200,DIESEL,3.5,일반탑차,2007
0000000201,DIESEL,5,조르다,2007
0000000202,DIESEL,5,일반탑차,1998
0000000204,DIESEL,3.5,일반탑차,2001
0000000205,DIESEL,5,조르다,2004
0000000206,DIESEL,2.5,일반탑차,2010
0000000207,DIESEL,2.5,일반탑차,2010
0000000208,DIESEL,5,조르다,2006
0000000209,DIESEL,2.5,일반탑차,2002
0000000210,DIESEL,3.5,일반탑차,2007
0000000211,DIESEL,2.5,일반탑차,2002
0000000212,DIESEL,3.5,일반탑차,2006
0000000213,DIESEL,2.5,일반탑차,2017
0000000215,DIESEL,3.5,일반탑차,2001
0000000216,DIESEL,5,조르다,2012
0000000217,DIESEL,3.5,일반탑차,2007
0000000218,DIESEL,3.5,일반탑차,2009
0000000219,DIESEL,14,조르다,2007
0000000220,DIESEL,2.5,일반탑차,2005
0000000221,DIESEL,3.5,일반탑차,2017
0000000222,DIESEL,2.5,일반탑차,2005
0000000223,DIESEL,3.5,일반탑차,2003
0000000224,DIESEL,3.5,일반탑차,2015
0000000225,DIESEL,3.5,일반탑차,2003
0000000226,DIESEL,2.5,일반탑차,2005
0000000227,DIESEL,14,조르다,2015
0000000228,DIESEL,2.5,일반탑차,2002
0000000229,DIESEL,5,일반탑차,2006
0000000230,DIESEL,14,조르다,2005
0000000231,DIESEL,14,조르다,2011
0000000232,DIESEL,3.5,일반탑차,2006
0000000233,DIESEL,5,조르다,2011
0000000234,DIESEL,11,조르다,2007
0000000235,DIESEL,3.5,일반탑차,2010
0000000236,DIESEL,3.5,일반탑차,2007
0000000237,DIESEL,14,조르다,2013
0000000238,DIESEL,5,조르다,2006
0000000239,DIESEL,2.5,일반탑차,2007
0000000241,DIESEL,14,조르다,2013
0000000242,DIESEL,5,일반탑차,2003
0000000243,DIESEL,5,일반탑차,2003
0000000244,DIESEL,5,조르다,2005
0000000245,DIESEL,5,일반탑차,2003
0000000246,DIESEL,8,일반탑차,2002
0000000247,DIESEL,5,조르다,2000
0000000248,DIESEL,5,일반탑차,2005
0000000249,DIESEL,2.5,일반탑차,2005
0000000250,DIESEL,5,일반탑차,2010
0000000251,DIESEL,14,조르다,2004
0000000252,DIESEL,14,윙바디,2004
0000000253,DIESEL,8,일반탑차,2002
0000000254,DIESEL,4.5,조르다,2008
0000000255,DIESEL,2.5,일반탑차,2008
0000000256,DIESEL,5,조르다,2005
0000000257,DIESEL,5,조르다,2003
